iter	Passed	Remaining
0	63	63102
1	257	128302
2	319	106098
3	556	138627
4	625	124454
5	908	150570
6	1093	155091
7	1235	153185
8	1375	151413
9	1537	152175
10	1730	155624
11	1899	156401
12	2088	158536
13	2233	157325
14	2585	169780
15	2760	169796
16	2943	170174
17	3118	170147
18	3299	170350
19	3479	170517
20	3635	169466
21	3777	167937
22	4028	171131
23	4197	170679
24	4420	172399
25	4615	172917
26	4878	175790
27	5122	177817
28	5303	177574
29	5488	177462
30	5660	176947
31	5916	178980
32	6125	179507
33	6317	179478
34	6468	178344
35	6672	178682
36	6843	178112
37	6995	177102
38	7224	178025
39	7443	178653
40	7658	179124
41	7832	178646
42	7977	177546
43	8135	176759
44	8345	177100
45	8616	178699
46	8861	179684
47	9120	180896
48	9271	179951
49	9472	179974
50	9749	181421
51	9981	181966
52	10213	182493
53	10453	183129
54	10708	183994
55	10976	185039
56	11245	186048
57	11489	186613
58	11654	185885
59	11899	186424
60	12103	186313
61	12334	186612
62	12604	187463
63	12867	188186
64	13188	189706
65	13442	190227
66	13592	189277
67	13860	189974
68	14080	189991
69	14336	190474
70	14581	190795
71	14778	190481
72	15068	191348
73	15284	191266
74	15481	190934
75	15667	190481
76	15903	190641
77	16151	190917
78	16415	191376
79	16651	191495
80	16897	191714
81	17173	192254
82	17374	191959
83	17638	192347
84	17893	192623
85	18180	193218
86	18443	193553
87	18716	193968
88	18952	193996
89	19148	193614
90	19386	193650
91	19626	193703
92	19896	194045
93	20156	194276
94	20334	193714
95	20558	193588
96	20781	193465
97	21073	193965
98	21320	194038
99	21575	194182
100	21879	194751
101	21976	193478
102	22233	193628
103	22471	193599
104	22696	193460
105	22983	193838
106	23135	193085
107	23404	193307
108	23649	193322
109	23862	193070
110	23966	191949
111	24124	191271
112	24336	191032
113	24562	190897
114	24821	191015
115	25094	191237
116	25361	191403
117	25550	190979
118	25841	191316
119	26127	191601
120	26384	191668
121	26685	192048
122	26969	192297
123	27259	192574
124	27471	192297
125	27713	192235
126	28010	192544
127	28218	192238
128	28424	191919
129	28667	191850
130	28841	191323
131	29015	190800
132	29263	190764
133	29494	190615
134	29753	190644
135	30047	190890
136	30290	190806
137	30540	190766
138	30706	190202
139	30969	190238
140	31181	189961
141	31395	189698
142	31624	189527
